RECIPIENT NAME,RECIPIENT CITY NAME,RECIPIENT COUNTY CODE,RECIPIENT COUNTY NAME,RECIPIENT STATE CODE,RECIPIENT ZIP CODE,TYPE OF RECIPIENT,TYPE OF ACTION,RECIPIENT CONGRESSIONAL DISTRICT,FEDERAL AGENCY/ORGANIZATIONAL UNIT CODE,FEDERAL FUNDING AMOUNT,NON-FEDERAL FUNDING AMOUNT,TOTAL FUNDING AMOUNT,OBLIGATION ACTION DATE,STARTING DATE,ENDING DATE,TYPE OF ASSISTANCE TRANSACTION,RECORD TYPE,CORRECTION/LATE INDICATOR,FISCAL YEAR AND QUARTER CORRECTION,PRINCIPAL PLACE OF PERFORMANCE: STATE,PRINCIPAL PLACE OF PERFORMANCE: COUNTY OR CITY,CFDA PROGRAM TITLE,FEDERAL AGENCY NAME,STATE NAME FOR RECIPIENT,PROJECT DESCRIPTION
CIVIL DEFENSE AGENCY,CONCORD,013,MERRIMACK COUNTY,NEW HAMPSHIRE,03301,Government codes: State government,new assistance action,90,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,98944,0,98944,09/08/2010,08/17/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,NEW HAMPSHIRE,CONCORD,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEW HAMPSHIRE,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,CONCORD,013,MERRIMACK COUNTY,NEW HAMPSHIRE,03301,Government codes: State government,new assistance action,90,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,93555,0,93555,09/23/2010,08/17/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,NEW HAMPSHIRE,CONCORD,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEW HAMPSHIRE,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,CONCORD,013,MERRIMACK COUNTY,NEW HAMPSHIRE,03301,Government codes: State government,new assistance action,90,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,55985,0,55985,09/29/2010,08/17/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,NEW HAMPSHIRE,CONCORD,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEW HAMPSHIRE,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,CONCORD,013,MERRIMACK COUNTY,NEW HAMPSHIRE,03301,Government codes: State government,new assistance action,90,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,66488,0,66488,09/28/2010,08/17/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,NEW HAMPSHIRE,CONCORD,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEW HAMPSHIRE,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,CONCORD,013,MERRIMACK COUNTY,NEW HAMPSHIRE,03301,Government codes: State government,new assistance action,90,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,147769,0,147769,09/16/2010,08/17/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,NEW HAMPSHIRE,CONCORD,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEW HAMPSHIRE,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,CONCORD,013,MERRIMACK COUNTY,NEW HAMPSHIRE,03301,Government codes: State government,new assistance action,90,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,105825,0,105825,08/17/2010,08/17/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,NEW HAMPSHIRE,CONCORD,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEW HAMPSHIRE,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
CIVIL DEFENSE AGENCY,CONCORD,013,MERRIMACK COUNTY,NEW HAMPSHIRE,03301,Government codes: State government,new assistance action,90,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,62250,0,62250,08/18/2010,08/17/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,NEW HAMPSHIRE,CONCORD,HAZARD MITIGATION GRANT,DHS-FEDERAL EMERGENCY MANAGEMENT AGENCY,NEW HAMPSHIRE,GRANT TO LOCAL GOVERNMENT FOR REPAIR OR REPLACEMENT OF DISASTER DAMAGED FACILITIES
STEVENS INSTITUTE OF TECHNOLOG,HOBOKEN,017,HUDSON COUNTY,NEW JERSEY,070305906,Government codes: State controlled institutions of higher education,funding adjustment to completed project,90,"NAVY-NAVAL RESEARCH, OFFICE OF",1623,0,1623,09/27/2010,01/29/2009,09/27/2010,project grant  (B),action-by-action reporting,NA,NA,NEW JERSEY,HOBOKEN,BASIC AND APPLIED SCIENTIFIC RESEARCH,"NAVY-NAVAL RESEARCH, OFFICE OF",NEW JERSEY,SYSTEM EARNED READINESS MANAGEMENT FOR DEFENSE ACQUISITION
THE ELECTROCHEMICAL SOCIETY IN,PENNINGTON,021,MERCER COUNTY,NEW JERSEY,085342827,Nonprofit agencies: other nonprofit,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",25000,0,25000,07/08/2010,07/15/2010,12/14/2010,project grant  (B),action-by-action reporting,NA,NA,NEW JERSEY,PENNINGTON,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW JERSEY,"TAS::57 3600::TASTHE SEVENTEENTH INTERNATIONAL SYMPOSIUM ON MOLTEN SALTS AND IONIC LIQUIDS"""
POLYMER TECHNOLOGIES INC,CLIFTON,031,PASSAIC COUNTY,NEW JERSEY,070113812,Private: small business,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",99964,0,99964,08/04/2010,08/03/2010,05/03/2011,cooperative agreement  (B),action-by-action reporting,NA,NA,NEW JERSEY,CLIFTON,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW JERSEY,METAL INJECTION MOLDING STUDY
UNIVERSITY OF NEW MEXICO,ALBUQUERQUE,001,BERNALILLO COUNTY,NEW MEXICO,871310001,Government codes: State controlled institutions of higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",96595,0,96595,09/01/2010,09/01/2010,08/31/2013,project grant  (B),action-by-action reporting,NA,NA,NEW MEXICO,ALBUQUERQUE,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW MEXICO,"TAS::57 3600::TAS  (HBCU/MI) TUNABLE INFRARED SEMICONDUCTOR LASERS"""
UNIVERSITY OF NEW MEXICO,ALBUQUERQUE,001,BERNALILLO COUNTY,NEW MEXICO,871310001,Government codes: State controlled institutions of higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",195000,0,195000,08/13/2010,08/15/2010,08/14/2012,project grant  (B),action-by-action reporting,NA,NA,NEW MEXICO,ALBUQUERQUE,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW MEXICO,"TAS::57 3600::TAS HIGH POWER LASERS"""
NEW MEXICO INSTITUTE OF MINING,SOCORRO,053,SOCORRO COUNTY,NEW MEXICO,878014750,Private: private higher education,new assistance action,02,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",240000,0,240000,07/13/2010,07/13/2010,07/12/2015,cooperative agreement  (B),action-by-action reporting,NA,NA,NEW MEXICO,SOCORRO,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW MEXICO,AFRL LA LUZ ACADEMY
UNIVERSITY OF NEW MEXICO,ALBUQUERQUE,001,BERNALILLO COUNTY,NEW MEXICO,871310001,Government codes: State controlled institutions of higher education,new assistance action,90,"ENERGY, DEPARTMENT OF",250000,0,250000,08/31/2010,08/31/2010,09/01/2011,project grant  (B),action-by-action reporting,NA,NA,NEW MEXICO,ALBUQUERQUE,DEFENSE NUCLEAR NONPROLIFERATION RESEARCH,"ENERGY, DEPARTMENT OF",NEW MEXICO,TAS::89 0309::TAS    MAGNETIC MICROCALORIMETERS (PDP10-68)
THE BRONX DEFENDERS,NEW YORK,005,BRONX COUNTY,NEW YORK,10451,Nonprofit agencies: other nonprofit,new assistance action,90,DOJ-OFFICE OF JUSTICE PROGRAMS,250000,0,250000,08/10/2010,10/01/2010,09/30/2011,project grant  (B),action-by-action reporting,NA,NA,NEW YORK,NEW YORK,EDWARD BYRNE MEMORIAL COMPETITIVE GRANT PROGRAM,DOJ-OFFICE OF JUSTICE PROGRAMS,NEW YORK,THE CENTER FOR HOLISTIC DEFENSE: SUPPORTING A NEW AND BROADER VISION OF THE PUBLIC DEFENDER
THE RESEARCH FOUNDATION OF STA,BUFFALO,029,ERIE COUNTY,NEW YORK,142600001,Private: private higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",39976,0,39976,08/20/2010,09/01/2010,02/28/2011,project grant  (B),action-by-action reporting,NA,NA,NEW YORK,BUFFALO,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW YORK,"TAS::57 3600::TAS WORKSHOP ON DYNAMIC DATA-DRIVEN APPLICATIONS SYSTEMS - INFOSYMBIOTIC SYSTEMS"""
UNIVERSITY OF ROCHESTER,ROCHESTER,055,MONROE COUNTY,NEW YORK,146420001,Private: private higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",159382,0,159382,07/23/2010,08/01/2010,01/31/2012,project grant  (B),action-by-action reporting,NA,NA,NEW YORK,ROCHESTER,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW YORK,"TAS::57 3600::TASCOMPUTATIONAL MODELING OF OPTIMAL DECISION-MAKING IN MULTISENSORY INTEGRATION"""
"CORNELL UNIVERSITY, INC",ITHACA,109,TOMPKINS COUNTY,NEW YORK,148532801,Private: private higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",200000,0,200000,07/22/2010,08/01/2010,07/31/2011,project grant  (B),action-by-action reporting,NA,NA,NEW YORK,ITHACA,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NEW YORK,"TAS::57 3600::TAS LOW DIMENSIONAL CARBON MATERIALS FOR NANOOPTICS AND NANOPLASMONICS"""
PARTNERSHIP FOR DEFENSE INNOVATION,FAYETTEVILLE,051,CUMBERLAND COUNTY,NORTH CAROLINA,283014958,Government codes: city or township government,new assistance action,90,DEPT. OF AGRIC. - RURAL BUSINESS-COOPERATIVE SERVICE,75000,0,75000,07/06/2010,06/25/2010,06/25/2010,project grant  (B),action-by-action reporting,NA,NA,NORTH CAROLINA,CUMBERLAND COUNTY,RURAL BUSINESS ENTERPRISE GRANTS,DEPT. OF AGRIC. - RURAL BUSINESS-COOPERATIVE SERVICE,NORTH CAROLINA,RURAL BUSINESS ENTERPRISE GRANTS
UNIVERSITY OF NORTH CAROLINA A,CHARLOTTE,119,MECKLENBURG COUNTY,NORTH CAROLINA,282230001,Government codes: State controlled institutions of higher education,new assistance action,90,"NAVY, DEPARTMENT OF THE",194296,0,194296,08/12/2010,08/12/2010,07/31/2011,project grant  (B),action-by-action reporting,NA,NA,NORTH CAROLINA,CHARLOTTE,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"NAVY, DEPARTMENT OF THE",NORTH CAROLINA,NOVEL FEL CAVITY OPTIC
DUKE UNIVERSITY,DURHAM,063,DURHAM COUNTY,NORTH CAROLINA,277089900,Private: private higher education,new assistance action,04,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",109969,0,109969,07/08/2010,07/15/2010,07/14/2013,project grant  (B),action-by-action reporting,NA,NA,NORTH CAROLINA,DURHAM,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NORTH CAROLINA,"TAS::57 3600::TAS SEQUENTIAL PREDICTION FOR INFORMATION FUSION AND CONTROL,"
DUKE UNIVERSITY,DURHAM,063,DURHAM COUNTY,NORTH CAROLINA,277089900,Private: private higher education,new assistance action,04,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",29200,0,29200,08/23/2010,09/01/2010,08/31/2011,project grant  (B),action-by-action reporting,NA,NA,NORTH CAROLINA,DURHAM,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NORTH CAROLINA,"TAS::57 3600::TASWORKSHOP IN NETWORK SECURITY"""
DUKE UNIVERSITY,DURHAM,063,DURHAM COUNTY,NORTH CAROLINA,277089900,Private: private higher education,new assistance action,04,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",346932,0,346932,08/25/2010,09/01/2010,08/31/2015,project grant  (B),action-by-action reporting,NA,NA,NORTH CAROLINA,DURHAM,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NORTH CAROLINA,"TAS::57 3600::TAS INFERRING NETWORK CONTROLS FROM TOPLOGY USING THE CHOMP DATABASE"""
DUKE UNIVERSITY,DURHAM,063,DURHAM COUNTY,NORTH CAROLINA,277089900,Government codes: State controlled institutions of higher education,new assistance action,04,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",5000,0,5000,09/10/2010,09/15/2010,03/14/2011,project grant  (B),action-by-action reporting,NA,NA,NORTH CAROLINA,DURHAM,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NORTH CAROLINA,"TAS::57 3600::TAS SYMPOSIUM II: MECHANOCHEMISTRY IN MATERIALS SCIENCE"""
SEMICONDUCTOR RESEARCH CORPORA,DURHAM,063,DURHAM COUNTY,NORTH CAROLINA,277038447,Nonprofit agencies: other nonprofit,new assistance action,04,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",10000,0,10000,08/02/2010,08/01/2010,01/31/2011,project grant  (B),action-by-action reporting,NA,NA,NORTH CAROLINA,DURHAM,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",NORTH CAROLINA,"TAS::57 3600::TAS  THE EIGHTH INTERNATIONAL WORKSHOP ON FUTURE INFORMATION PROCESSING TECHNOLOGIES"""
CASE WESTERN RESERVE UNIVERSIT,CLEVELAND,035,CUYAHOGA COUNTY,OHIO,441061712,Private: private higher education,new assistance action,90,"ARMY,DEPT. OF THE (EXC. CORPS OF ENGINEERS CIVIL PROGRAM)",606793,0,606793,09/15/2010,09/15/2010,10/14/2013,project grant  (B),action-by-action reporting,NA,NA,OHIO,CLEVELAND,MILITARY MEDICAL RESEARCH AND DEVELOPMENT,"ARMY,DEPT. OF THE (EXC. CORPS OF ENGINEERS CIVIL PROGRAM)",OHIO,INHIBITION OF ORTHOPAEDIC IMPLANT INFECTIONS BY IMMUNOMODULATORY EFFECTS OF HOST DEFENSE PEPTIDES
MIAMI UNIVERSITY,OXFORD,017,BUTLER COUNTY,OHIO,450563563,Government codes: State controlled institutions of higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",156499,0,156499,07/07/2010,07/15/2010,07/14/2013,project grant  (B),action-by-action reporting,NA,NA,OHIO,OXFORD,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",OHIO,"TAS::57 3600::TAS  (YIP 10) CROSS-CONJUGATED NANOARCHITECTURES"""
MIAMI UNIVERSITY,OXFORD,017,BUTLER COUNTY,OHIO,450563563,Government codes: State controlled institutions of higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",180465,0,180465,07/26/2010,08/01/2010,04/30/2013,project grant  (B),action-by-action reporting,NA,NA,OHIO,OXFORD,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",OHIO,TAS:: 57 3600::TAS SATELLITE SIGNAL PARAMETER ESTIMATION ALGORITHMS FOR HIGH-ACCURACY APPLICATIONS
MICRODEV INC,COLUMBUS,049,FRANKLIN COUNTY,OHIO,432214155,Private: small business,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",16000,0,16000,08/23/2010,05/17/2010,05/17/2011,project grant  (B),action-by-action reporting,NA,NA,OHIO,COLUMBUS,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",OHIO,"TAS::57 3600::TAS  WORKSHOP ON POSSIBILITIES AND LIMITATIONS OF CHARACTERIZATION AND MODELING OF DEFECTS, INTERFACES AND PHASE TRANSFORMATIONS"
OHIO STATE UNIVERSITY RESEARCH,COLUMBUS,049,FRANKLIN COUNTY,OHIO,432101016,Government codes: State controlled institutions of higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",271257,0,271257,09/10/2010,09/15/2010,09/14/2013,project grant  (B),action-by-action reporting,NA,NA,OHIO,COLUMBUS,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",OHIO,"TAS::57 3600::TAS (MURI FY10) CRYOGENIC PELTIER COOLING"""
OHIO STATE UNIVERSITY THE,COLUMBUS,049,FRANKLIN COUNTY,OHIO,432101016,Government codes: State controlled institutions of higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",99899,0,99899,09/01/2010,09/01/2010,08/31/2013,project grant  (B),action-by-action reporting,NA,NA,OHIO,COLUMBUS,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",OHIO,"TAS::57 3600::TAS  MULTIDIMENSIONAL FORCING STRATEGIES FOR WAKE CONTROL"""
UNIVERSITY OF CINCINNATI,CINCINNATI,061,HAMILTON COUNTY,OHIO,452210001,Government codes: State controlled institutions of higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",135000,0,135000,09/07/2010,09/01/2010,04/30/2013,project grant  (B),action-by-action reporting,NA,NA,OHIO,CINCINNATI,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",OHIO,"TAS::57 3600::TAS REAL -TIME COMBAT NAVIGATION SYSTEM AND VIRTUAL BATTLESPACE"""
AMERICAN SOCIETY FOR COMPOSITE,DAYTON,113,MONTGOMERY COUNTY,OHIO,454690001,Nonprofit agencies: other nonprofit,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",10000,0,10000,09/30/2010,09/30/2010,12/30/2010,project grant  (B),action-by-action reporting,NA,NA,OHIO,DAYTON,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",OHIO,"TAS::57 3600::TAS  THE 25TH ANNUAL CONFERENCE OF AMERICAN SOCIETY FOR COMPOSITES"""
"CACI MTL SYSTEMS, INC",DAYTON,113,MONTGOMERY COUNTY,OHIO,454322730,Private: profit organization,funding adjustment to completed project,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",1660,0,1660,09/28/2010,03/12/2002,09/28/2010,cooperative agreement  (B),action-by-action reporting,NA,NA,OHIO,DAYTON,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",OHIO,A DIGITAL WATERMARKING TOOLKIT
SMITHS AEROSPACE LLC,VANDALIA,113,MONTGOMERY COUNTY,OHIO,453773062,Private: profit organization,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",575000,3619462,4194462,07/09/2010,06/24/2011,10/19/2013,cooperative agreement  (B),action-by-action reporting,NA,NA,OHIO,VANDALIA,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",OHIO,SOLID STATE ELECTRICAL DISTRIBUTION UNIT
UNIVERSITY OF DAYTON,DAYTON,113,MONTGOMERY COUNTY,OHIO,454690001,Private: private higher education,funding adjustment to completed project,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",74400,0,74400,09/23/2010,02/02/2010,09/30/2010,cooperative agreement  (B),action-by-action reporting,NA,NA,OHIO,DAYTON,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",OHIO,VERSATILE AFFORDABLE ADVANCED FUELS AND COMBUSTION TECHNOLOGIES
UNIVERSITY OF OKLAHOMA,NORMAN,027,CLEVELAND COUNTY,OKLAHOMA,730194039,Government codes: State government,funding adjustment to completed project,04,"ARMY,DEPT. OF THE (EXC. CORPS OF ENGINEERS CIVIL PROGRAM)",14,0,14,09/13/2010,09/16/2010,09/30/2010,project grant  (B),action-by-action reporting,NA,NA,OKLAHOMA,NORMAN,RESEARCH ON CHEMICAL AND BIOLOGICAL DEFENSE,"ARMY,DEPT. OF THE (EXC. CORPS OF ENGINEERS CIVIL PROGRAM)",OKLAHOMA,DE-OBLIGATION OF FUNDS
CARNEGIE MELLON UNIVERSITY,PITTSBURGH,003,ALLEGHENY COUNTY,PENNSYLVANIA,152133815,Private: private higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",34160,0,34160,07/12/2010,08/01/2010,11/30/2010,project grant  (B),action-by-action reporting,NA,NA,PENNSYLVANIA,PITTSBURGH,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",PENNSYLVANIA,"TAS::57 3600::TAS MEMRISTIVE MATERIALS AND DEVICES"""
UNIVERSITY OF PITTSBURGH,PITTSBURGH,003,ALLEGHENY COUNTY,PENNSYLVANIA,152133320,Government codes: State controlled institutions of higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",216982,0,216982,07/02/2010,07/01/2010,06/30/2013,project grant  (B),action-by-action reporting,NA,NA,PENNSYLVANIA,PITTSBURGH,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",PENNSYLVANIA,"TAS::57 3600::TAS BUCKLING OF BILAYER LAMINATES: A NOVEL APPROACH TO SYNTHETIC PAPILLAE"""
UNIVERSITY OF PITTSBURGH,PITTSBURGH,003,ALLEGHENY COUNTY,PENNSYLVANIA,152133320,Private: private higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",527462,0,527462,09/10/2010,09/15/2010,09/14/2013,project grant  (B),action-by-action reporting,NA,NA,PENNSYLVANIA,PITTSBURGH,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",PENNSYLVANIA,"TAS::57 3600::TAS (MURI-10) QUANTUM PISTON:  QUANTUM PRESERVATION, SIMULATION AND TRANSFER IN OXIDE NANOSTRUCTURES """
"PENNSYLVANIA STATE UNIVERSITY,",STATE COLLEGE,027,CENTRE COUNTY,PENNSYLVANIA,168021505,Government codes: State controlled institutions of higher education,new assistance action,05,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",175000,0,175000,09/01/2010,09/15/2010,09/14/2013,project grant  (B),action-by-action reporting,NA,NA,PENNSYLVANIA,STATE COLLEGE,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",PENNSYLVANIA,"TAS::57 3600::TAS SELF-MOVING CATALYTIC NANOMOTORS"""
LEHIGH UNIVERSITY,BETHLEHEM,033,CLEARFIELD COUNTY,PENNSYLVANIA,180153008,Private: private higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",101120,0,101120,07/15/2010,08/01/2010,07/31/2013,project grant  (B),action-by-action reporting,NA,NA,PENNSYLVANIA,BETHLEHEM,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",PENNSYLVANIA,"TAS::57 3600::TASMIXED-INTEGER CONIC LINEAR PROGRAMMING: CHALLENGES AND PERSPECTIVES"""
TRUSTEES OF THE UNIVERSITY OF,PHILADELPHIA,101,PHILADELPHIA COUNTY,PENNSYLVANIA,191046205,Private: private higher education,new assistance action,90,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",198813,0,198813,07/21/2010,08/01/2010,07/31/2011,project grant  (B),action-by-action reporting,NA,NA,PENNSYLVANIA,PHILADELPHIA,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,"AIR FORCE-AIR FORCE, DEPARTMENT OF THE (HEADQUARTERS, USAF)",PENNSYLVANIA,"TAS::57 3600::TAS METAMATERIAL-BASED ONE-WAY CAVITIES, ONE-WAY TERMINALS AND ONE-WAY LOADS"""
